step,ee_x,ee_y,ee_z,min_dist,closest_body,cbf_triggered,violation
387,0.5898,0.184,0.4237,0.2074,hand,0,0
388,0.5898,0.1836,0.4238,0.2071,hand,0,0
389,0.5898,0.1831,0.4239,0.2068,hand,0,0
390,0.5899,0.1827,0.4241,0.2065,hand,0,0
391,0.5899,0.1823,0.4242,0.2061,hand,0,0
392,0.5899,0.1818,0.4243,0.2058,hand,0,0
393,0.59,0.1814,0.4244,0.2055,hand,0,0
394,0.59,0.1809,0.4246,0.2052,hand,0,0
395,0.59,0.1805,0.4247,0.2049,hand,0,0
396,0.59,0.18,0.4248,0.2045,hand,0,0
397,0.5901,0.1796,0.425,0.2042,hand,0,0
398,0.5901,0.1792,0.4251,0.2039,hand,0,0
399,0.5901,0.1788,0.4252,0.2036,hand,0,0
